experience,education,skills
"Senior Software Engineer, Senior Engineer",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Interpersonal Abilities, Teamwork,
LINUX, kubernetes, Sql, Hardening, Devops, Agile Methodology, Certified Scrum Master, Pmi
"
senior engineer,BE /  B.Tech  ( Engineering )  ,"Interpersonal Abilities, Analytical Proficiency, Technical Proficiency,
c, c++, Leadership, Management skill, Telecom planning, Operations and Maintenance of All Telecom Equipment s, Integrity
"
"Solution Architect, Business Analyst","BE /  B.Tech  ( Engineering )  , MBA /  PGDM
                  	
	                  	
	                       		2007
	                    
                    	","Creative Proficiency, Teamwork, Management Proficiency,
, Solution Architecture, Business Analysis, Presales Consultant, Business Requirements Gathering, Product Research, Telecoms Consultant, Value Added Services, VAS, Bss, API Exposure, Client Presentation, Micro services, Service Delivery platf
"
"Lead Telecommunications, Senior Associate","B.com.  ( Commerce )  , MBA /  PGDM
                  	
	                  	
	                       		2018
	                    
                    	","Creative Proficiency, Research Proficiency, Technical Proficiency,
, Communication, Communication Skills, Confidence, Consumer Behavior, Consumer Products, Corporate Communications, Creative, Customer Executive, Customer Marketing, Customer Service Call Center, Decision Making, Digital Marketing, Distribution Management, Ecommerce, Email Marketing, English, Erp, Excel, Fmcg, Innovation, Internet Marketing, Interpersonal, Leadership, Marketing, Marketing Management, Marketing Strategy, Microsoft Office, Microsoft Word, Motivation, Online Marketing, Order Processing, Positive Attitude, Presentation, Pricing, Purchase, Teamwork, Technical Support Voice
"
"FTTX Engineer, FA Engineer ( Network Support )","B.com.  ( Commerce )  , M.com.  ( Commerce ) 
                  	
	                  	
	                       		2003
	                    
                    	","Management Proficiency, Planning/Organizing, Technical Proficiency,
networking ~ system administration ~ technical support ~ troubleshooting, IT Manager
"
PM,BE /  B.Tech  ( Engineering )  ,"
Pmp Certified, Project Management, Programme Management
"
"Field engineer, Deployment engineer",BE /  B.Tech  ( Engineering )  ,"
Trouble shooting of mw, , ubr, enterprises, odsc, idsc, L2 stitches, trouble shooting of WiFi sites, and fiber
"
"Assistant Manager Planning, Product Support Engineer",BE /  B.Tech  ( Engineering )  ,"Interpersonal Abilities, Research Proficiency, Training/Mentoring,
ENGINEER, PRODUCT SUPPORT, PUNCTUAL, TELECOMMUNICATIONS, Energy Management
"
"Marketing & Communication , Assistant Manager-Projects","MBA /  PGDM
                  	
	                  	
                    	","
Office Administration, , Human Resource Management, Event Manager, Human Resources Manager
"
"Branch Relationship Manager, Franchisee Store Manager",BA  ( Arts )  ,"Management Proficiency, Communication Proficiency, Technical Proficiency,
, acheived monthly target, area manager, area sales manager, assistant sales manager, audit executive, auditor, Back Office, back-office operations, brand management, business development manager, business development officer, channel sales manager, Clerical, clerk, collection, computer operator, customer care representative, customer relations, customer service executive, Data Entry, data entry operator, distribution, distribution management, distributor channel sales, district manager, Entry Operator, etc, fmcg, franchiesse store manager, management information system, management retail outlet bussiness, marketing, Mis, mis executive, Mis Reports, payments, purchase, retail management, retail manager, sales, sales & amp; marketing, sales manager, team leader, Telecommunications, telemarketing, territory sales manager
"
Project manager,BE /  B.Tech  ( Engineering )  ,"
Project Manager, Telecom, Vendor Management, Wireline, Dwdm, Mpls, Gpon, swan, network rollout, Fiber Optics, Fttx, Project Management, Risk Management, Stakeholder Management, Ms Office, Project Planning, Client Management
"
"Currently Unemployed, I & C Engineer",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Planning/Organizing, Interpersonal Abilities,
C, c++, Networking. ASP.net.
"
"Telecom Engineer, Fault Management Engineer",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Planning/Organizing, Interpersonal Abilities,
Having knowledge about HUAWEI, NOKIA, ZTE BTSInstallation, Maintenence, Configuration, Troubleshooting, Team Management, Vendor management, 2G, 3G, 4G / LTE
"
"Telecommunications Engineer, Telecommunications Engineer",BE /  B.Tech  ( Engineering )  ,"Technical Proficiency, Interpersonal Abilities, Creative Proficiency,
all windous
"
IMS Operations Engineer,BE /  B.Tech  ( Engineering )  ,"Creative Proficiency, Communication Proficiency, Accomplishments,
c language, Embedded C, MATLAB, Ms Office, Ribbon, Ims, IMS, Telecoms Engineer, Ims operations
"
Project Engineer,Diploma-Engineering ,"
Plc Scada, Automation, Project Management
"
production engineer,BE /  B.Tech  ( Engineering )  ,"Communication Proficiency, Management Proficiency, Planning/Organizing,
Manufacturing various types of electrical and communication cables
"
Senior Procurement Executive,"MBA /  PGDM
                  	
	                  	
	                       		2008
	                    
                    	","Management Proficiency, Planning/Organizing, Teamwork,
did my project in effectie of cost & mgt accounting
"
Desktop Support engineer,BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Creative Proficiency, Technical Proficiency,
Basic Networking, , CCNA, Routing, Switching, LAN, WAN
"
Engineer,Diploma-Engineering ,"
Skills: Thorough knowledge in optical fiber communications.Good experience for maintaining telecommunication equipments.Fast learner
"
Territory manager,Diploma-Engineering ,"
Maintanence machinery sale purchase
"
Electronics and telecommunications engineering,BE /  B.Tech  ( Engineering )  ,"
Manual Testing, JIRA, Android App Testing, Web Testing
"
"Tech Lead, Provisioning Engineer",BE /  B.Tech  ( Engineering )  ,"Interpersonal Abilities, Management Proficiency, Planning/Organizing,
SDH, DWDM, Networking, Ethernet, Optical Fiber
"
"Lead and Fiber Execusion Engineer, Fiber Engineer","Planning/Organizing, Training/Mentoring, Research Proficiency,","
1.ofc-osp, nld - o & m, network management., 2. microwave installation & commissioning ( nec pasolink, sdh & pdh ), 3.mw & ome nodes visible sever maintained., 4. gis ( geographical information system ), for fiber cut updating., 5.ome provisioning., 6. fh-tdma ( fh-tdma samyukta, ministry of defence ( dlrl, 7.ms-office ( microsoft word, excel, power point, internet ) ., Fttx
"
Head Business and Security Operations Centre,"M.Sc.  ( Science ) 
                  	
	                  	
                    	","Management Proficiency, Planning/Organizing, Creative Proficiency,
Telecommunications Specialist, 2g, 3g, Lte, Wcdma
"
"System Engineer , Associate Telecoms Engineer",BE /  B.Tech  ( Engineering )  ,"
Cctv System, Access Control, Public Address, Wireless Technology
"
"Network and Security Administrator, Network Engineer L2",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Planning/Organizing, Analytical Proficiency,
Network Administrator, CCNA, Spectrum NETWORK MONITORING
"
Electrical & telecommunications engineer,BE /  B.Tech  ( Engineering )  ,"
Telecommunications
"
indore,"Accomplishments, Training/Mentoring, Technical Proficiency,","
Network Engineer
"
"BUSINESS ANALYST, Web development Trainee",BE /  B.Tech  ( Engineering )  ,"
C, c++, Python, Bootstrap, Database, Jquery, Html5, Css3, Web designing, Digital Marketing, numpy, pandas, matplotlib, seaborn, sql, Data Visualization, Tableau
"
CNC machine Opreter,BE /  B.Tech  ( Engineering )  ,"
Consumer Electronic Retail Specialist, Engineering, Manufacturing
"
"Telecommunications executive, Telecommunications executive","BA  ( Arts )  , MA  ( Arts ) 
                  	
	                  	
	                       		2010
	                    
                    	","
Back Office, Business Development, Fine arts crafts & performing arts, Fmcg / sales, Aviation management, Aviation ground staff, Airport duty staff
"
"Network Design and optimization engineer, Transmission Engineer",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Planning/Organizing, Interpersonal Abilities,
, Sdh / sonet, Dwdm, Fiber Optic Cable, Eci, Huawei, Eos, Nms / ems, Noc Operations, Mpls, Ethernet, Micro wave
"
"Senior Telecommunication Engineer , TELECOM TEAM LEADER NAWRAS / OMANTEL PROJECTS",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Planning/Organizing, Teamwork,
Telecommunications, Telecommunications Engineering, Wireless, Wireless Network, Sensor
"
Process specialist,BE /  B.Tech  ( Engineering )  ,"
Ccna Networking, Six Sigma, Yellow Belt
"
Production Engineer,BE /  B.Tech  ( Engineering )  ,"
Smd Soldering, Smd pick and place machine operating
"
"Currently Unemployed, Technical support engineer",Diploma-Engineering ,"
Networking Protocols
"
"Technician- Production, Maintainance Engineer",Diploma-Engineering ,"Analytical Proficiency, Research Proficiency, Management Proficiency,
Electronics, Manual Testing, Testing engg, Qc, Automation Testing
"
Technical support L1,BE /  B.Tech  ( Engineering )  ,"
Ccna Networking, Cisco Routing, Routing & Switching, , VLAN, VTP, Firewall, Sonicwall firewalls, Sophos firewalls, Sophos endpoint protection, Sophos serverprotection, Falcon crowdstrike
"
"Senior Software Engineer, Web Research Analyst",BE /  B.Tech  ( Engineering )  ,"Technical Proficiency, Planning/Organizing, Creative Proficiency,
C, Ipc, STP, RSTP, Mpls, GDB debugger
"
Design cum Support Engineer,BE /  B.Tech  ( Engineering )  ,"
ms-office, Autocad Drafter, Scilab, MATLAB, CCNA
"
Engineer Transmission Planning,BE /  B.Tech  ( Engineering )  ,"Creative Proficiency, Analytical Proficiency, Communication Proficiency,
Electronics, Telecommunications
"
"FTTX Asst.manager , Cluster Incharge",BE /  B.Tech  ( Engineering )  ,"Interpersonal Abilities, Accomplishments, Research Proficiency,
, OFC fibers project and O & M, Gis Engineer
"
Electronic and telecommunications,BE /  B.Tech  ( Engineering )  ,"
Ccna Networking
"
"draftsman, Site supervisor and draftsman",BE /  B.Tech  ( Engineering )  ,"Communication Proficiency, Accomplishments, Analytical Proficiency,
AutoCAD, Solidworks, Sheet Metal, Site Engineering, Site Supervision
"
"Currently Unemployed, Technology Analyst",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Management Proficiency, Analytical Proficiency,
sdh, pdh, sonet, bgp, Ospf, Eigrp, Rip, Vlan, Ethernet, TCP / IP, clarity, presides, crest, icarus, oms, IMS, gloden-i, Network Engineer
"
"Incident Management Specialist, Incident Manager",Diploma-Engineering ,"Management Proficiency, Interpersonal Abilities, Planning/Organizing,
software upgrades / network implementation / troubleshooting ( fault management ) of telecom network elements like bts, bsc, node-b, rnc, lte, configuration management, fault management, integration, enodeb, Incident Management, Incident Manager, Fault Management, Performance Management, Performance Analysis, Driving Performance, Itil Certified, ITIL, Itil Incident Management, Itil Process, Change Management, Problem Management, Problem Handling, Volte, Nodeb, Radio Network, Node B, Ran, Bts, Hsdpa, Bss, 4g, Umts, 3g, Rrc, 2g, Software Configuration, It Service Management, Netcool, Alarm Monitoring, Customer Service Management
"
"Project Management- Relationship Manager , Project Manager-Relationship Manager","BE /  B.Tech  ( Engineering )  , MBA /  PGDM
                  	
	                  	
	                       		2010
	                    
                    	","Management Proficiency, Planning/Organizing, Interpersonal Abilities,
TELECOM PROJECT MANAGEMENT, QUALITY CONTRIL & QUALITY ASSURANCE, NETWORK PLANNING & TELECOM ACTIVE & PASSIVE INFRASTRUCTURE WORK., Relationship Manager
"
"Dy.manager International Marketing, Manager Int , Marketing","B.Sc.  ( Science )  , MBA /  PGDM
                  	
	                  	
	                       		2006
	                    
                    	","Management Proficiency, Creative Proficiency, Analytical Proficiency,
International Business Manager, Knowledge of Telecommunications / OSP / FTT-x / Fibre optic technology / SCADA projects
"
"executive engineer, Graduate Trainee engineer",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Teamwork, Training/Mentoring,
, Bid, Bid Management, Costing estimations, E-tendering, Excel, MS Office, Ms office sway and forms, Power point presentation, Project Costing, Sap Erp, Sap mm, Tender Business, Tender Documentation, Tender Executive, Inside Sales, Inside Sales Representative
"
